   pgc   |        name        |      j2000      |        ra        |     dec      | modulus |  error   |    method     |   Dist    |  Vh  |   VLG    
 2807142 | KKH69              | 113453.3+110112 |        173.72208 |        11.02 | 29.3462 |          | TF            |       7.4 |  881 |  741.233
   35856 | NGC3738            | 113548.6+543122 |       173.952495 |    54.522777 |   28.62 |     0.02 | TRGB          |   5.29664 |  225 |  306.068
   35878 | NGC3741            | 113606.4+451707 |       174.026655 |    45.285277 |   27.54 |     0.11 | TRGB          |   3.22107 |  229 |  262.691
 5067071 | Crater             | 113615.8-105240 |       174.065835 |   -10.877778 | 21.1522 | 0.124118 | CMD           |      0.17 |  148 | -79.6141
   36014 | ESO320-014         | 113753.4-391314 |       174.472485 |   -39.220554 |   28.89 |     0.04 | TRGB          |   5.99791 |  654 |  362.383
  166114 | [KK98] 108         | 114003.6+462843 |       175.015005 |    46.478611 | 28.4948 |          | txt           |   4.99989 |      |         
   36758 | UGC06757           | 114659.1+612006 |      176.7464583 |  61.33497222 |   28.32 |     0.14 | TRGB          |   4.61317 |   82 |  199.125
  166115 | KK109              | 114711.2+434019 |        176.79666 |    43.671943 |   28.27 |     0.17 | TRGB          |   4.50817 |  211 |  239.921
 1528400 | LV J1149+1715      | 114905.6+171521 |        177.27333 |    17.255833 |   28.84 |          | NAM           |   5.86138 |  623 |  519.147
 5742923 | Crater 2           | 114914.4-182447 |       177.310005 |   -18.413056 |   20.35 |     0.02 | TRGB          |   0.11749 |   88 | -157.925
 5806880 | HIZOA J1149-62     | 114938.4-621102 |      177.4099584 | -62.18388889 |  28.266 |          | BTF           |   4.49987 |  512 |   221.45
 2807144 | KKH73              | 115006.4+554660 |        177.52665 |    55.783333 | 29.7712 |          | txt           |         9 |  594 |  685.195
   37050 | DDO099             | 115053.0+385250 |       177.720825 |    38.880554 |   27.12 |     0.08 | TRGB          |   2.65461 |  251 |  257.199
 6726347 | Grapes             | 115205.6+544732 |        178.02333 |    54.792222 |   29.18 |          | NAM           |   6.85488 |  321 |  407.663
 3401153 | PGC3401153         | 115352.4+512938 |     178.46833335 |  51.49388889 |    29.8 |          | NAM           |    9.1201 |  497 |  568.457
 4668303 | AGC215145          | 115412.5+122606 |      178.5520833 |       12.435 |  29.569 |          | BTF           |   8.19974 | 1004 |  880.294
   37369 | ESO379-007         | 115443.0-333329 |        178.67916 |   -33.558055 |   28.68 |     0.06 | TRGB          |   5.44503 |  644 |  366.596
 4561602 | PGC4561602         | 115504.2+282053 |     178.76749995 |  28.34805556 |   28.67 |          | NAM           |   5.42001 |  502 |  456.362
   37401 | KDG81              | 115514.3+440860 |     178.80958335 |        44.15 |  29.924 |          | TF            |   9.65606 |  727 |  761.589
 6740587 | LV J1157+56sat     | 115752.9+563650 |        179.47041 |    56.613889 |   29.42 |          | mem           |   7.65597 |      |         
 2543081 | LV J1157+5638      | 115754.2+563817 |     179.47587495 |  56.63797222 |   29.71 |     0.16 | TRGB          |   8.74983 |  416 |   513.51
 1488625 | LV J1158+1535      | 115840.4+153534 |      179.6682084 |  15.59269444 |    28.5 |          | NAM           |   5.01187 |  565 |  457.863
 6657032 | Virgo I            | 120009.6-004048 |       180.040005 |        -0.68 |    19.7 |     0.25 | HB            | 0.0870964 |      |         
 4102014 | LV J1203+4739      | 120300.0+473915 |      180.7500834 |  47.65419444 |    29.5 |          | NAM           |   7.94328 |  492 |  547.077
 4102045 | LV J1203+3257      | 120310.9+325722 |     180.79520835 |  32.95616667 |   29.11 |          | NAM           |   6.63743 |  570 |  550.897
   38148 | NGC4068            | 120402.4+523519 |        181.00998 |     52.58861 |   28.21 |     0.02 | TRGB          |    4.3853 |  210 |  289.776
   38252 | ESO379-024         | 120456.7-354435 |        181.23624 |   -35.743055 |   27.71 |          | NAM           |   3.48337 |  632 |  355.897
   38286 | KUG 1202+286       | 120523.3+282156 |       181.347075 |    28.365555 |   29.28 |          | TF            |   7.17795 |  565 |  523.791
 4310323 | PGC4310323         | 120531.0+310434 |      181.3791666 |  31.07611111 |   29.04 |          | NAM           |   6.42688 |  569 |   541.18
 4560429 | PGC4560429         | 120633.5+303716 |      181.6395834 |  30.62111111 |   28.69 |          | NAM           |   5.47016 |  494 |  464.809
 1942712 | MAPS1206+31        | 120634.5+312033 |       181.643745 |    31.342499 |   29.04 |          | NAM           |   6.42688 |  568 |  542.316
   38618 | NGC4136            | 120917.7+295539 |        182.32374 |    29.927499 |   29.12 |          | NAM           |   6.66807 |  608 |  576.507
   38685 | MCG +06-27-017     | 120956.4+362607 |        182.48499 |    36.435277 |   28.43 |     0.13 | TRGB          |   4.85289 |  339 |  340.532
   38688 | NGC4144            | 120959.3+462726 |        182.49708 |    46.457222 |   29.19 |     0.03 | TRGB          |   6.88652 |  265 |  316.746
         | MADCASH-2          | 121006.7+352635 |      182.5279167 |  35.44305556 |   27.39 |      0.1 | TRGB          |   3.00608 |      |         
 5276794 | N4258dwC           | 121026.8+464449 |     182.61166665 |  46.74694444 | 29.4211 |          | mem           |      7.66 |      |         
   38881 | NGC4163            | 121208.9+361010 |        183.03708 |    36.169443 |   27.38 |     0.02 | TRGB          |   2.99226 |  162 |  163.207
  166124 | [KK98] 125         | 121241.9+685538 |       183.174585 |    68.927222 | 29.5154 |          | txt           |         8 |      |         
   39023 | NGC4190            | 121344.6+363760 |        183.43581 |    36.633332 |   27.26 |     0.06 | TRGB          |   2.83139 |  235 |  239.265
   39032 | ESO321-014         | 121349.6-381353 |       183.456645 |   -38.231388 |   27.61 |     0.09 | TRGB          |    3.3266 |  609 |  333.228
   39058 | UGC07242           | 121407.4+660532 |        183.53082 |    66.092221 |   28.68 |     0.03 | TRGB          |   5.44503 |   66 |  211.152
   39107 | VCC0114            | 121435.2+054038 |        183.64665 |     5.677221 | 29.5691 |          | TF            |       8.2 | 2067 |  1923.37
   39145 | KDG090             | 121457.9+361308 |        183.74124 |    36.218888 |   27.37 |     0.08 | TRGB          |   2.97852 |      |         
   39179 | NGC4204            | 121514.4+203931 |           183.81 |    20.658611 | 29.5154 |          | txt           |         8 |  861 |  786.847
   39225 | NGC4214            | 121538.9+361939 |       183.912075 |    36.327499 |    27.3 |     0.07 | TRGB          |   2.88403 |  291 |   294.62
   39228 | MCG +09-20-131     | 121546.7+522315 |        183.94458 |    52.387499 |   28.32 |     0.09 | TRGB          |   4.61317 |  159 |  241.821
   39255 | VCC0169            | 121556.2+093857 |       183.984165 |     9.649166 | 29.8656 |          | TF            |       9.4 | 2219 |   2093.7
   39256 | IC3077             | 121556.3+142559 |        183.98457 |    14.433054 | 29.7952 |          | TF            |       9.1 | 1406 |  1302.63
         | M106edgeN4217      | 121612.5+470804 |     184.05208335 |  47.13444444 |  29.432 |          | mem           |   7.69839 |      |         
   39316 | UGC07298           | 121628.6+521338 |        184.11915 |    52.227221 |   28.11 |     0.13 | TRGB          |   4.18794 |  174 |  256.315
   39346 | NGC4236            | 121643.3+692756 |       184.180395 |    69.465555 |   28.22 |     0.04 | TRGB          |   4.40555 |   -3 |  156.931
   39408 | UGC07320           | 121728.5+444841 |       184.368735 |    44.811388 | 29.8189 |          | TF            |       9.2 |  541 |  587.243
   39422 | NGC4244            | 121729.9+374827 |        184.37457 |      37.8075 |   28.17 |     0.07 | TRGB          |   4.30527 |  247 |  259.354
   39423 | NGC4242            | 121730.2+453710 |       184.375815 |    45.619443 | 29.4881 |          | TF            |       7.9 |  517 |  567.835
 2807147 | KKH78              | 121744.5+332043 |        184.43541 |    33.345277 | 28.3605 |          | mem           |       4.7 |      |         
   39461 | NGC4248            | 121749.9+472433 |        184.45791 |    47.409166 | 29.3462 |          | TF            |       7.4 |  484 |  543.509
 4320422 | LV J1218+4655      | 121811.1+465501 |       184.546245 |    46.916943 |   29.59 |     0.09 | TRGB          |   8.27942 |  420 |  477.255
   39520 | KDG098             | 121829.4+283845 |        184.62249 |    28.645833 | 29.7712 |          | txt           |         9 |      |         
 4555586 | PGC4555586         | 121831.5+300340 |        184.63125 |   30.0611111 |   29.18 |          | NAM           |   6.85488 |  626 |  599.905
   39573 | IC3104             | 121846.1-794334 |       184.692075 |    -79.72611 |   26.86 |     0.02 | TRGB          |   2.35505 |  429 |  170.216
 1839154 | BTS116             | 121857.3+283311 |       184.738755 |    28.553056 |   27.51 |          | NAM           |   3.17687 |  323 |  289.409
   39600 | NGC4258            | 121857.5+471814 |        184.73958 |    47.303888 |   29.42 |     0.04 | TRGB          |   7.65597 |  447 |  506.445
  166127 | KK132              | 121906.5+474351 |       184.777065 |    47.730832 |   29.32 |     0.06 | TRGB          |   7.31139 |      |         
   39615 | KDG101             | 121909.1+470523 |       184.787895 |    47.089721 |   29.31 |     0.02 | TRGB          |    7.2778 |  132 |  190.483
   39646 | PGC039646          | 121915.6+061738 |          184.815 |     6.293889 |  28.559 |          | TF            |   5.14991 |  669 |  530.766
  166128 | KK133              | 121932.8+432311 |       184.886655 |    43.386388 |    29.6 |          | NAM           |   8.31764 |  561 |  601.141
  166130 | KK135              | 121934.7+580234 |      184.8945834 |  58.04277778 |   28.91 |          | NAM           |   6.05341 |  215 |  325.639
  213976 | PGC213976          | 121943.6+293932 |      184.9316667 |  29.65888889 |      29 |          | NAM           |   6.30957 |  579 |  551.852
 5061328 | [KKH2011]S11       | 122030.1+472925 |        185.12541 |    47.490277 | 29.4211 |          | mem           |      7.66 |      |         
   39840 | NGC4288            | 122038.1+461730 |        185.15874 |    46.291666 |   29.58 |          | NAM           |   8.24138 |  533 |  587.975
 5057086 | CVnHI              | 122043.4+461233 |        185.18082 |    46.209166 | 29.4211 |          | mem           |      7.66 |  420 |  474.515
   39849 | VCC0429            | 122043.9+143752 |      185.1829167 |  14.63111111 |  29.256 |          | TF            |   7.09905 |  587 |  487.285
   39873 | KUG 1218+387       | 122054.9+382549 |       185.228745 |    38.430277 |   29.33 |          | NAM           |   7.34514 |  570 |  586.549
 5057020 | d1220+4649         | 122055.0+464945 |        185.22915 |    46.829166 |  29.488 |     0.28 | SBF           |   7.89951 |      |         
   39918 | DDO120             | 122115.0+454841 |        185.31249 |    45.811388 |   29.31 |     0.02 | TRGB          |    7.2778 |  463 |  515.632
 1853813 | PGC1853813         | 122116.6+290221 |     185.31916665 |  29.03916667 |   29.12 |          | NAM           |   6.66807 |  617 |  587.027
   39942 | KDG104             | 122127.9+150128 |        185.36625 |    15.024443 | 29.8656 |          | TF            |       9.4 | 1861 |  1763.54
 5074546 | Hydra II           | 122142.1-315907 |        185.42541 |   -31.985278 |   20.64 |     0.16 | CMD           |  0.134276 |  303 |  41.1078
  166132 | KDG105             | 122143.0+375914 |        185.42916 |    37.987221 | 29.4041 |          | TF            |       7.6 |  567 |  581.805
   39999 | UGC7427            | 122155.0+350305 |        185.47917 |    35.051389 | 29.9339 |          | TF            |   9.70001 |  726 |  726.677
  166133 | KK138              | 122158.4+281434 |        185.49333 |    28.242777 | 28.9967 |          | txt           |       6.3 |      |         
 3097706 | KKSG27             | 122205.7-094801 |        185.52375 | -9.800277778 |   29.11 |          | BTF           |   6.63743 | 1328 |  1127.62
   40045 | GR34               | 122207.6+154757 |       185.531655 |    15.799166 |   29.84 |     0.26 | TRGB          |   9.28966 | 1298 |  1204.55
 4323538 | PGC4323538         | 122216.7+305324 |      185.5695834 |        30.89 |      29 |          | NAM           |   6.30957 |  567 |  546.549
   40109 | VCC0565            | 122238.5+060052 |         185.6604 |     6.014444 | 29.9114 |          | TF            |       9.6 |  871 |  733.558
  166135 | KK141              | 122252.7+334943 |        185.71956 |     33.82861 |    29.6 |     0.05 | TRGB          |   8.31764 |  573 |  567.772
   40195 | PGC40195           | 122309.7+292059 |      185.7904167 |  29.34972222 |   28.89 |          | NAM           |   5.99791 |  552 |  524.381
 2832112 | BTS132             | 122346.2+473932 |        185.94249 |    47.658888 |  29.346 |     0.22 | SBF           |   7.39946 |      |         
 2832113 | BTS133             | 122407.6+375935 |       186.031665 |    37.993056 |   29.77 |          | BTF           |   8.99498 |  641 |  656.513
 5059199 | PGC5059199         | 122409.9+261352 |        186.04125 |  26.23111111 |   27.16 |          | NAM           |   2.70396 |  288 |  245.846
 2832114 | N4258dwB           | 122410.9+470723 |      186.0454167 |  47.12305556 | 29.4211 |          | mem           |      7.66 |      |         
   40356 | UGC07485           | 122422.2+210936 |     186.09250005 |        21.16 |    29.5 |          | TF            |   7.94328 |  959 |  892.323
  166137 | KK144              | 122527.9+282857 |        186.36624 |    28.482499 |   28.89 |     0.08 | TRGB          |   5.99791 |  480 |  449.141
   40588 | VCC0841            | 122547.0+145707 |       186.445815 |    14.951944 | 29.4881 |          | TF            |       7.9 |  499 |  403.734
   40596 | NGC4395            | 122549.8+333246 |       186.457485 |     33.54611 |   28.39 |     0.01 | TRGB          |   4.76431 |  313 |  307.799
   40665 | UGCA281            | 122616.0+482931 |       186.566655 |    48.491944 |   28.78 |     0.05 | TRGB          |   5.70164 |  279 |  347.156
   40750 | SBS 1224+533       | 122652.6+530619 |      186.7191666 |  53.10527778 |   28.99 |          | NAM           |   6.28058 |  300 |  390.237
 4713557 | ComaI              | 122658.4+235442 |      186.7433334 |  23.91166667 |   18.13 |     0.08 | HB            | 0.0422668 |   98 |  46.1932
   40791 | DDO126             | 122705.1+370833 |        186.77124 |    37.142499 |   28.48 |     0.07 | TRGB          |   4.96592 |  217 |   229.99
   40904 | DDO125             | 122741.8+432938 |       186.924165 |    43.493888 |   27.08 |     0.05 | TRGB          |   2.60615 |  206 |  250.835
   40943 | UGC07584           | 122802.9+223522 |       187.012065 |    22.589444 | 29.8189 |          | TF            |       9.2 |  603 |  545.196
   86635 | KKH80              | 122805.4+221727 |        187.02249 |    22.290833 |   29.03 |    0.025 | TRGB          |   6.39735 |  602 |  542.484
   40973 | NGC4449            | 122811.2+440540 |       187.046655 |    44.094444 |   28.15 |     0.01 | TRGB          |   4.26579 |  201 |  249.192
   41020 | DDO127             | 122828.5+371360 |        187.11873 |    37.233333 |   28.37 |     0.07 | TRGB          |   4.72063 |  275 |  289.575
   41036 | UGC07596           | 122833.9+083823 |        187.14123 |     8.639721 | 28.3138 |          | TF            |       4.6 |  565 |  442.679
   41048 | UGC07605           | 122839.0+354305 |       187.162485 |    35.718054 |   28.38 |     0.14 | TRGB          |   4.74242 |  310 |  316.853
   41066 | NGC4455            | 122844.1+224921 |        187.18374 |    22.822499 |    29.1 |     0.09 | TRGB          |   6.60694 |  644 |  587.817
   41063 | DDO129             | 122844.2+431327 |       187.184145 |    43.224166 |  29.747 |          | TF            |       8.9 |  538 |   581.98
 5057024 | LV J1228+4358      | 122844.9+435818 |        187.18707 |    43.971666 |  28.048 |          | TRGB          |      4.07 |  226 |   273.18
   41069 | NGC4460            | 122845.8+445152 |        187.19082 |    44.864444 |   29.91 |     0.19 | SBF           |   9.59401 |  499 |  550.989
   41093 | KK149              | 122852.3+421040 |       187.217895 |    42.177777 |   29.65 |     0.15 | TRGB          |   8.51138 |  407 |  445.411
   41239 | UGC07639           | 122953.0+473148 |       187.470825 |    47.529999 |   29.27 |     0.16 | SBF           |   7.14496 |  385 |  450.033
   41258 | UGC07636           | 123001.0+075546 |       187.504155 |     7.929443 |   28.58 |          | TF            |       5.2 |  469 |   344.43
   41283 | UGC07642           | 123013.8+023730 |     187.55749995 |        2.625 |      30 |          | TF            |        10 | 1635 |  1487.74
   41314 | KK151              | 123023.8+425405 |       187.599165 |    42.901388 |   29.57 |     0.07 | TRGB          |   8.20351 |  436 |  478.528
   41326 | NGC4485            | 123031.2+414200 |        187.62999 |         41.7 |   29.75 |     0.57 | TRGB          |   8.91251 |  480 |  517.104
 5808780 | AGC229379          | 123034.0+231220 |        187.64166 |    23.205556 |   29.38 |     0.08 | TRGB          |   7.51623 |  624 |  570.721
   41333 | NGC4490            | 123036.4+413837 |       187.651665 |     41.64361 | 29.7494 |          | mem           |      8.91 |  586 |  622.934
 4330008 | AGC724906          | 123056.0+263040 |      187.7333334 |  26.51111111 |   29.39 |          | TF            |   7.55092 |  927 |  889.955
   41395 | CGCG 014-054       | 123103.8+014033 |      187.7658333 |  1.675833333 | 29.9114 |          | TF            |   9.60019 | 1105 |  954.302
 4015941 | MAPS1231+42        | 123109.0+420539 |        187.78749 |    42.094166 | 29.7494 |          | mem           |      8.91 |  563 |  602.404
   41512 | DDO131             | 123158.6+294235 |       187.994145 |    29.709722 |   29.33 |          | mem           |   7.34514 |  643 |  622.144
   41522 | UGC07678           | 123200.4+394955 |        188.00166 |    39.831944 |   29.79 |     0.07 | TRGB          |   9.07821 |  681 |  709.742
   41576 | UGC07690           | 123226.9+424215 |       188.112075 |    42.704166 | 29.7494 |          | mem           |      8.91 |  536 |  578.492
   41594 | AGC229089          | 123236.0+331325 |     188.14999995 |  33.22361111 |   29.14 |          | TF            |   6.72976 |  810 |  806.693
 1161319 | dw1232+0015        | 123236.2+001543 |     188.15083335 |  0.261944444 |  29.611 |          | mem           |   8.35988 | 1192 |  1036.36
   41618 | NGC4517            | 123245.5+000654 |       188.189565 |        0.115 |   29.61 |     0.12 | TRGB          |   8.35603 | 1134 |  977.553
   41636 | DDO133             | 123253.0+313221 |       188.220825 |    31.539166 |   28.44 |     0.05 | TRGB          |   4.87529 |  331 |  319.615
 2832115 | BTS142             | 123307.4+380658 |       188.280825 |    38.116111 |      30 |          | BTF           |        10 |  719 |  739.913
   41667 | KDG155             | 123308.0-003159 |        188.28333 |    -0.533054 |  29.545 |          | BTF           |   8.10961 |  750 |  591.763
   41701 | KK152              | 123324.9+332105 |        188.35374 |    33.351388 |   29.95 |     0.08 | TRGB          |   9.77238 |  838 |   835.65
   41749 | PGC041749          | 123352.7+393733 |     188.46958335 |  39.62583333 |   29.58 |          | BTF           |   8.24138 |  648 |  676.648
   41766 | UGC7719            | 123400.6+390110 |       188.502495 |    39.019444 | 29.8189 |          | TF            |       9.2 |  679 |  704.359
   41779 | NGC4534            | 123405.5+353106 |       188.522895 |    35.518332 | 29.9561 |          | TF            |       9.8 |  802 |  810.844
   41846 | UGC07748           | 123438.4+682025 |     188.65999995 |  68.34027778 |  29.697 |          | TF            |   8.69761 |  458 |  590.334
   41902 | UGC7751            | 123511.8+410339 |     188.79916665 |  41.06083333 | 29.4881 |          | TF            |   7.89987 |  605 |  641.257
  970397 | LV J1235-1104      | 123539.4-110402 |      188.9141667 | -11.06722222 |      30 |          | TF            |        10 | 1110 |  1002.95
   42002 | NGC4559            | 123557.7+275735 |         188.9904 |    27.959722 |   29.75 |     0.05 | TRGB          |   8.91251 |  814 |  786.839
   42068 | VCC1675            | 123635.0+080317 |        189.14583 |     8.054722 | 29.3753 |          | TF            |       7.5 | 1790 |  1670.11
   42081 | IC3583             | 123643.5+131534 |       189.181245 |    13.259444 |   29.89 |     0.04 | TRGB          |   9.50605 | 1120 |  1023.58
 5057082 | MAPS1236+33        | 123649.4+333648 |        189.20583 |    33.613333 |   29.36 |          | TF            |   7.44732 |  526 |   526.65
   42108 | IC3591             | 123703.0+065536 |       189.262485 |     6.926666 | 29.9561 |          | TF            |       9.8 | 1632 |  1507.46
         | dw1237-1125        | 123711.6-112559 |     189.29833335 | -11.43305556 |    29.9 |          | mem           |   9.54992 |      |         
   42115 | AGC220847          | 123714.0+293751 |      189.3083334 |  29.63083333 |  29.814 |          | TF            |   9.17909 |  795 |  776.678
   42120 | KKSG29             | 123714.1-102951 |        189.30873 |   -10.497499 |   29.96 |     0.07 | TRGB          |   9.81748 |  756 |  562.454
   42134 | Arp211             | 123721.3+384443 |        189.33873 |    38.745277 |   28.94 |     0.07 | TRGB          |   6.13762 |  458 |  483.895
   42143 | VCC1713            | 123729.1+044505 |       189.371235 |     4.751388 | 29.2867 |          | TF            |       7.2 | 1638 |  1504.34
 3097708 | KKSG30             | 123735.9-085202 |        189.39957 |    -8.867221 |   29.94 |      0.1 | TRGB          |   9.72747 | 1105 |   917.49
   42160 | VCC1725            | 123741.2+083333 |        189.42165 |     8.559166 | 29.6471 |          | TF            |       8.5 | 1076 |   959.04
 3097709 | KKSG31             | 123833.7-102925 |        189.64041 |   -10.490277 |    29.9 |          | mem           |   9.54992 |      |         
   42275 | UGCA292            | 123840.0+324560 |        189.66666 |    32.766666 |   27.93 |     0.18 | TRGB          |   3.85478 |  308 |  306.027
         | dw1239-1159        | 123909.1-115913 |      189.7879167 | -11.98694444 |    29.9 |          | mem           |   9.54992 |      |         
         | N4594DW1           | 123915.3-114308 |        189.81375 | -11.71888889 |   29.87 |    0.134 | SBF           |    9.4189 | 1368 |  1171.49
   42336 | NGC4592            | 123918.7-003155 |      189.8279166 | -0.531944444 |   29.79 |     0.07 | TRGB          |   9.07821 | 1069 |   914.54
 5473061 | N4594-DGSAT-3      | 123932.8-111338 |       189.886665 |   -11.227222 |    29.9 |          | mem           |   9.54992 |      |         
   42380 | UGC07827           | 123938.9+444915 |        189.91209 |    44.820833 | 29.6471 |          | TF            |       8.5 |  553 |  609.419
 5473059 | Sombrero DwA       | 123951.5-112029 |        189.96459 |   -11.341389 |    29.9 |          | mem           |   9.54992 |      |         
 3097710 | KKSG32             | 123955.0-114448 |         189.9792 |   -11.746666 |    29.9 |          | mem           |   9.54992 |      |         
   42407 | NGC4594            | 123959.1-113723 |        189.99624 |   -11.623054 |    29.9 |      0.1 | TRGB          |   9.54992 | 1090 |  894.296
   42408 | NGC4605            | 124000.3+613629 |       190.001235 |    61.608055 |   28.72 |     0.01 | TRGB          |   5.54626 |  151 |  283.838
 5059213 | AGC749241          | 124001.7+261919 |     190.00708335 |  26.32194444 |   28.75 |    0.055 | TRGB          |   5.62341 |  451 |  418.259
 5912183 | dw1240-42          | 124002.0-422444 |        190.00833 |   -42.412222 |   27.78 |          | mem           |   3.59749 |      |         
 2832118 | BTS146             | 124002.1+380002 |       190.008735 |    38.000555 | 29.6471 |          | TF            |       8.5 |  446 |  470.298
 3793583 | SUCD1              | 124003.1-114004 |       190.012905 |   -11.667777 |    29.9 |          | mem           |   9.54992 | 1305 |  1109.18
 3097711 | KKSG33             | 124008.9-122153 |        190.03707 |   -12.364722 |    29.9 |          | mem           |   9.54992 |      |         
   42428 | dw1240-1118        | 124009.4-111850 |      190.0391667 | -11.31388889 |    29.9 |          | mem           |   9.54992 |      |         
   42413 | KDG178             | 124010.0+323931 |       190.041645 |  32.65861111 | 29.3166 |          | mem           |       7.3 |  765 |  763.048
   42422 | VCC1822            | 124010.4+065049 |        190.04331 |     6.846944 | 29.5424 |          | TF            |       8.1 | 1008 |   885.13
         | dw1240-1140        | 124017.6-114046 |      190.0733334 | -11.67944444 |    29.9 |          | mem           |   9.54992 | 1293 |  1097.29
   42447 | NGC4600            | 124023.0+030704 |        190.09581 |     3.117777 |   29.84 |     0.06 | TRGB          |   9.28966 |  852 |  713.299
 4074723 | PGC4074723         | 124029.9+472204 |      190.1245833 |  47.36777778 |   27.76 |          | NAM           |   3.56451 |  229 |  297.893
 6726341 | HSC-9              | 124053.0+321656 |       190.220835 |    32.282222 |   29.24 |      0.1 | SBF           |   7.04693 |      |         
 5067062 | NGC 4631dw1        | 124057.0+324733 |         190.2375 |      32.7925 | 29.3462 |          | mem           |       7.4 |      |         
         | dw1241-1131        | 124102.8-113144 |     190.26166665 | -11.52888889 |    29.9 |          | mem           |   9.54992 |      |         
 5473060 | Sombrero DwB       | 124112.0-115333 |       190.300005 |     -11.8925 |    29.9 |          | mem           |   9.54992 |      |         
 3097712 | KKSG34             | 124118.9-115539 |       190.328745 |   -11.927499 |    29.9 |          | mem           |   9.54992 |      |         
 5912184 | dw1241-32          | 124127.0-425345 |       190.362495 |   -42.895833 |   27.78 |          | mem           |   3.59749 |      |         
   42575 | NGC4618            | 124132.8+410903 |        190.38666 |    41.150833 |   29.42 |     0.06 | TRGB          |   7.65597 |  536 |   575.97
 1207559 | AGC224291          | 124139.2+015017 |      190.4133333 |  1.838055556 |   29.59 |          | TF            |   8.27942 | 1528 |  1384.79
  100707 | LV J1241+3251      | 124147.3+325128 |       190.447065 |    32.857777 | 29.3166 |          | mem           |       7.3 |  693 |  692.941
   42620 | NGC4627            | 124159.7+323425 |        190.49874 |     32.57361 | 29.3166 |          | mem           |       7.3 |  542 |  540.625
 5067063 | NGC 4631dw2        | 124206.8+323715 |       190.528335 |    32.620833 | 29.3462 |          | mem           |       7.4 |      |         
   42637 | NGC4631            | 124208.0+323229 |        190.53333 |    32.541388 |   29.33 |     0.03 | TRGB          |   7.34514 |  583 |  581.122
 5056991 | N4625A             | 124211.0+411510 |      190.5458334 |  41.25277778 | 29.4881 |          | mem           |       7.9 |      |         
   42656 | IC3687             | 124215.1+383007 |        190.56291 |    38.501944 |    28.3 |     0.07 | TRGB          |   4.57088 |  350 |  377.111
 6726342 | HSC-10             | 124231.4+315809 |        190.63083 |    31.969167 |   29.24 |     0.23 | SBF           |   7.04693 |      |         
         | PGC042730          | 124248.9-122327 |     190.70374995 | -12.39083333 |    29.9 |          | mem           |   9.54992 | 1025 |  828.479
 5067064 | NGC 4631dw3        | 124252.5+322735 |       190.718745 |    32.459722 | 29.3462 |          | mem           |       7.4 |      |         
   42772 | PGC42772           | 124307.1+322927 |     190.77958335 |  32.49083333 |   29.52 |          | TF            |   8.01678 |  901 |  899.849
 5912186 | dw1243-42b         | 124311.0-422637 |        190.79583 |   -42.443611 |   27.78 |          | mem           |   3.59749 |      |         
 5912185 | dw1243-42          | 124313.0-422748 |        190.80417 |   -42.463333 |   27.78 |          | mem           |   3.59749 |      |         
 2832120 | BTS151             | 124324.6+322856 |       190.852485 |    32.482221 |   29.33 |     0.21 | SBF           |   7.34514 |  735 |  733.762
   42832 | KDG192             | 124345.0+535732 |        190.93749 |    53.958888 |   29.47 |          | NAM           |   7.83429 |  443 |  543.584
 5056993 | LV J1243+4127      | 124355.7+412725 |        190.98207 |    41.456944 |   28.41 |     0.11 | TRGB          |   4.80839 |  402 |  444.447
  166142 | KK160              | 124357.4+433941 |        190.98915 |    43.661388 |   28.18 |     0.11 | TRGB          |   4.32514 |  293 |   346.25
   42863 | NGC4656            | 124357.6+321013 |        190.98999 |    32.170277 |   29.51 |     0.07 | TRGB          |   7.97995 |  638 |  635.274
 5074576 | NGC4656UV          | 124415.7+321660 |      191.0654166 |  32.28333333 |   29.51 |          | mem           |   7.97995 |  570 |  568.488
 2815819 | [KK2000] 51        | 124421.5-425623 |       191.089575 |   -42.939721 | 27.7815 |          | mem           |       3.6 |      |         
   42901 | DDO143             | 124425.1+342311 |       191.104575 |    34.386388 | 29.7952 |          | TF            |       9.1 |  607 |  615.954
   42931 | UGCA294            | 124438.1+282821 |        191.15874 |    28.472499 | 29.9782 |          | TF            |       9.9 |  955 |  935.324
   42936 | ESO381-018         | 124442.7-355760 |        191.17791 |   -35.966666 |   28.68 |     0.05 | TRGB          |   5.44503 |  624 |  367.224
   42944 | IC3718             | 124446.0+122105 |        191.19165 |    12.351388 | 29.1625 |          | TF            |       6.8 |  849 |  753.591
   42985 | UGC07929           | 124520.9+212537 |      191.3370834 |  21.42694444 |  28.222 |          | mem           |   4.40961 |  387 |  334.084
   43048 | ESO381-020         | 124600.4-335017 |       191.501655 |   -33.838055 |   28.69 |     0.05 | TRGB          |   5.47016 |  589 |  336.385
 5059984 | AGC227970          | 124601.4+042252 |      191.5058334 |  4.381111111 |  29.747 |          | TF            |    8.9002 |  642 |  512.375
   43051 | VCC2033            | 124604.5+082835 |        191.51874 |     8.476388 | 29.9561 |          | TF            |       9.8 | 1485 |  1373.14
   43072 | VCC2037            | 124615.3+101212 |        191.56374 |    10.203333 |   29.92 |     0.22 | TRGB          |   9.63829 | 1142 |  1037.93
   43124 | UGC07950           | 124656.4+513647 |        191.73498 |    51.613055 |  29.747 |          | TF            |       8.9 |  508 |  599.264
